symbol,articlesInLastWeek,companyNewsScore,bearishPercent,bullishPercent,averageSentimentScore,totalArticles,sectorAverageBullishPercent,sectorAverageNewsScore,sector,marketCap,peRatio,price
QYLD,3,0.5844,0.0,0.3333,0.1688,3,0.0,0.0,Unknown,0.0,0.0,0.0
CWST,3,0.5843,0.0,0.6667,0.1686,3,0.0,0.0,Unknown,0.0,0.0,0.0
PLAB,5,0.5842,0.0,0.4,0.1685,5,0.0,0.0,Unknown,0.0,0.0,0.0
DLPN,3,0.5842,0.0,0.3333,0.1685,3,0.0,0.0,Unknown,0.0,0.0,0.0
VTR,7,0.5838,0.0,0.4286,0.1676,7,0.3795,0.5445,Real Estate,28991381504.0,194.67,64.24
GOOS,3,0.5836,0.0,0.6667,0.1672,3,0.0,0.0,Unknown,0.0,0.0,0.0
CMCSA,3,0.5836,0.0,1.0,0.1672,3,0.5255,0.5696,Communication Services,128159260672.0,8.45,34.33
KALA,3,0.5835,0.0,1.0,0.167,3,0.0,0.0,Unknown,0.0,0.0,0.0
QLC,5,0.5833,0.0,1.0,0.1665,5,0.0,0.0,Unknown,0.0,0.0,0.0
VIV,3,0.5833,0.0,0.3333,0.1667,3,0.0,0.0,Unknown,0.0,0.0,0.0
BSX,8,0.5832,0.0,0.625,0.1665,8,0.5927,0.5837,Healthcare,154713473024.0,76.33,104.58
RGTI,7,0.5831,0.0,0.7143,0.1663,7,0.0,0.0,Unknown,0.0,0.0,0.0
BTCI,3,0.583,0.0,1.0,0.1659,3,0.0,0.0,Unknown,0.0,0.0,0.0
XNTK,3,0.583,0.0,0.6667,0.166,3,0.0,0.0,Unknown,0.0,0.0,0.0
CADL,4,0.5829,0.0,0.75,0.1657,4,0.0,0.0,Unknown,0.0,0.0,0.0
NTAP,12,0.5828,0.0,0.6667,0.1657,12,0.5672,0.5757,Technology,20400365568.0,18.31,98.85
SMMT,6,0.5826,0.0,0.8333,0.1651,6,0.0,0.0,Unknown,0.0,0.0,0.0
EAT,6,0.5826,0.0,0.6667,0.1653,6,0.0,0.0,Unknown,0.0,0.0,0.0
SHIP,4,0.5825,0.0,0.5,0.165,4,0.0,0.0,Unknown,0.0,0.0,0.0
KEY,8,0.582,0.0,0.75,0.164,8,0.3882,0.5556,Financial Services,17272014848.0,NaN,15.76
USFR,4,0.582,0.0,0.5,0.1641,4,0.0,0.0,Unknown,0.0,0.0,0.0
PPL,8,0.5818,0.0,0.5,0.1637,8,0.6583,0.6078,Utilities,25327183872.0,25.57,34.26
